open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
38.76,39.24,38.57,39.08,2901000.0,002929.SZ,20251222,润建股份,NA,CNY
39.01,39.09,38.52,38.64,2635500.0,002929.SZ,20251223,润建股份,NA,CNY
38.63,39.19,38.57,39.12,2653800.0,002929.SZ,20251224,润建股份,NA,CNY
39.15,39.74,39.06,39.62,2992700.0,002929.SZ,20251225,润建股份,NA,CNY
39.55,39.9,39.35,39.52,2992800.0,002929.SZ,20251226,润建股份,NA,CNY
39.63,40.23,39.56,39.81,3464500.0,002929.SZ,20251229,润建股份,NA,CNY
39.75,40.0,39.51,39.63,2630000.0,002929.SZ,20251230,润建股份,NA,CNY
39.66,39.99,39.37,39.76,3250000.0,002929.SZ,20251231,润建股份,NA,CNY
40.2,40.81,39.87,40.52,5503300.0,002929.SZ,20260105,润建股份,NA,CNY
40.52,40.93,40.3,40.79,5766700.0,002929.SZ,20260106,润建股份,NA,CNY
40.79,44.87,40.59,44.87,27786700.0,002929.SZ,20260107,润建股份,NA,CNY
45.28,46.68,44.96,45.26,32744700.0,002929.SZ,20260108,润建股份,NA,CNY
46.07,48.46,45.27,47.4,33444600.0,002929.SZ,20260109,润建股份,NA,CNY
47.4,48.56,46.11,48.04,27869900.0,002929.SZ,20260112,润建股份,NA,CNY
48.53,48.63,45.75,46.01,20153200.0,002929.SZ,20260113,润建股份,NA,CNY
46.35,50.0,46.25,48.84,30183000.0,002929.SZ,20260114,润建股份,NA,CNY
49.71,50.0,47.94,48.99,28364200.0,002929.SZ,20260115,润建股份,NA,CNY
47.94,47.94,45.95,46.15,16998400.0,002929.SZ,20260116,润建股份,NA,CNY
45.43,46.0,44.52,45.15,9773200.0,002929.SZ,20260119,润建股份,NA,CNY
45.26,45.65,43.72,44.05,8902600.0,002929.SZ,20260120,润建股份,NA,CNY
43.65,44.94,43.55,44.48,6523300.0,002929.SZ,20260121,润建股份,NA,CNY
44.79,44.91,44.09,44.37,6137200.0,002929.SZ,20260122,润建股份,NA,CNY
45.05,45.33,44.5,44.88,7240900.0,002929.SZ,20260123,润建股份,NA,CNY
45.83,46.9,44.78,45.86,11539100.0,002929.SZ,20260126,润建股份,NA,CNY
45.99,47.5,45.43,47.5,15583100.0,002929.SZ,20260127,润建股份,NA,CNY
47.87,48.19,46.83,47.3,13499300.0,002929.SZ,20260128,润建股份,NA,CNY
46.45,48.12,45.07,46.33,14190000.0,002929.SZ,20260129,润建股份,NA,CNY
45.96,48.29,45.96,46.39,10445200.0,002929.SZ,20260130,润建股份,NA,CNY
46.18,47.64,45.56,46.04,11066800.0,002929.SZ,20260202,润建股份,NA,CNY
46.16,47.26,45.6,47.2,10573300.0,002929.SZ,20260203,润建股份,NA,CNY
46.61,46.72,44.04,44.95,12850600.0,002929.SZ,20260204,润建股份,NA,CNY
44.29,45.27,44.02,44.76,6006000.0,002929.SZ,20260205,润建股份,NA,CNY
44.54,47.72,43.84,46.36,13942600.0,002929.SZ,20260206,润建股份,NA,CNY
47.3,47.92,46.53,47.31,12227000.0,002929.SZ,20260209,润建股份,NA,CNY
47.17,48.9,47.17,48.24,15192800.0,002929.SZ,20260210,润建股份,NA,CNY
48.16,49.44,48.16,48.59,13900800.0,002929.SZ,20260211,润建股份,NA,CNY
49.24,50.8,48.62,50.26,20408700.0,002929.SZ,20260212,润建股份,NA,CNY
49.76,51.83,49.45,49.81,16796300.0,002929.SZ,20260213,润建股份,NA,CNY
50.22,50.74,47.18,47.33,16643600.0,002929.SZ,20260224,润建股份,NA,CNY
47.33,47.75,46.06,46.12,10823300.0,002929.SZ,20260225,润建股份,NA,CNY
46.13,49.15,45.96,48.31,15816600.0,002929.SZ,20260226,润建股份,NA,CNY
47.76,50.4,47.5,49.18,13926500.0,002929.SZ,20260227,润建股份,NA,CNY
47.95,48.43,47.16,47.79,10777900.0,002929.SZ,20260302,润建股份,NA,CNY
48.34,52.58,48.3,49.69,44421700.0,002929.SZ,20260303,润建股份,NA,CNY
48.94,50.94,48.56,50.24,32578800.0,002929.SZ,20260304,润建股份,NA,CNY
50.94,51.44,48.47,49.62,25048900.0,002929.SZ,20260305,润建股份,NA,CNY
49.4,50.82,48.65,50.33,19416300.0,002929.SZ,20260306,润建股份,NA,CNY
48.94,53.16,47.65,53.02,28471800.0,002929.SZ,20260309,润建股份,NA,CNY
53.44,54.04,51.75,52.83,23283000.0,002929.SZ,20260310,润建股份,NA,CNY
51.92,53.09,51.74,51.99,14382600.0,002929.SZ,20260311,润建股份,NA,CNY
52.94,54.49,52.44,54.13,26794800.0,002929.SZ,20260312,润建股份,NA,CNY
52.45,53.14,49.8,50.14,19757500.0,002929.SZ,20260313,润建股份,NA,CNY
49.94,51.14,47.49,50.36,16595800.0,002929.SZ,20260316,润建股份,NA,CNY
49.99,50.92,48.44,48.44,10215800.0,002929.SZ,20260317,润建股份,NA,CNY
48.45,51.94,48.45,51.3,16876900.0,002929.SZ,20260318,润建股份,NA,CNY
50.02,53.79,49.94,51.8,21878900.0,002929.SZ,20260319,润建股份,NA,CNY
51.65,52.71,49.44,49.57,18420200.0,002929.SZ,20260320,润建股份,NA,CNY
48.44,49.24,45.95,46.33,13413700.0,002929.SZ,20260323,润建股份,NA,CNY
47.45,49.12,44.97,48.2,14769700.0,002929.SZ,20260324,润建股份,NA,CNY
48.77,51.72,48.77,50.49,16656500.0,002929.SZ,20260325,润建股份,NA,CNY
50.56,50.84,47.74,47.85,12263300.0,002929.SZ,20260326,润建股份,NA,CNY
47.03,49.21,46.49,48.19,9176800.0,002929.SZ,20260327,润建股份,NA,CNY
