open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
25.46,25.47,24.76,24.81,9679500.0,300735.SZ,20251203,光弘科技,NA,CNY
24.81,24.97,24.35,24.57,7951300.0,300735.SZ,20251204,光弘科技,NA,CNY
24.71,24.86,24.25,24.82,7325300.0,300735.SZ,20251205,光弘科技,NA,CNY
24.83,25.07,24.81,24.87,8783400.0,300735.SZ,20251208,光弘科技,NA,CNY
24.83,25.22,24.78,24.9,8879100.0,300735.SZ,20251209,光弘科技,NA,CNY
24.92,24.97,24.33,24.8,9852200.0,300735.SZ,20251210,光弘科技,NA,CNY
24.75,24.8,24.23,24.24,8781800.0,300735.SZ,20251211,光弘科技,NA,CNY
24.2,24.66,24.06,24.66,10971700.0,300735.SZ,20251212,光弘科技,NA,CNY
24.53,24.53,23.9,23.93,9939000.0,300735.SZ,20251215,光弘科技,NA,CNY
23.82,24.05,23.55,23.62,7974500.0,300735.SZ,20251216,光弘科技,NA,CNY
23.63,24.12,23.37,24.03,8729000.0,300735.SZ,20251217,光弘科技,NA,CNY
23.83,24.21,23.74,23.78,6616800.0,300735.SZ,20251218,光弘科技,NA,CNY
23.89,24.18,23.86,23.98,6493500.0,300735.SZ,20251219,光弘科技,NA,CNY
24.09,24.42,24.03,24.18,8179600.0,300735.SZ,20251222,光弘科技,NA,CNY
24.16,24.3,23.95,24.01,6652800.0,300735.SZ,20251223,光弘科技,NA,CNY
24.03,24.7,24.01,24.63,11230300.0,300735.SZ,20251224,光弘科技,NA,CNY
24.75,24.97,24.6,24.83,8540400.0,300735.SZ,20251225,光弘科技,NA,CNY
24.83,24.97,24.53,24.6,8662000.0,300735.SZ,20251226,光弘科技,NA,CNY
24.62,24.87,24.58,24.68,7629200.0,300735.SZ,20251229,光弘科技,NA,CNY
24.58,24.84,24.5,24.57,6885900.0,300735.SZ,20251230,光弘科技,NA,CNY
24.83,24.91,24.48,24.59,7982100.0,300735.SZ,20251231,光弘科技,NA,CNY
24.67,25.07,24.67,25.04,11194400.0,300735.SZ,20260105,光弘科技,NA,CNY
25.02,25.46,25.02,25.29,12635300.0,300735.SZ,20260106,光弘科技,NA,CNY
25.31,25.4,24.97,25.06,10620600.0,300735.SZ,20260107,光弘科技,NA,CNY
25.06,25.4,24.88,25.13,10482500.0,300735.SZ,20260108,光弘科技,NA,CNY
25.19,25.49,24.97,25.42,13748000.0,300735.SZ,20260109,光弘科技,NA,CNY
25.52,26.66,25.49,26.65,22489900.0,300735.SZ,20260112,光弘科技,NA,CNY
26.7,26.79,25.6,25.71,17717100.0,300735.SZ,20260113,光弘科技,NA,CNY
25.81,26.47,25.53,25.86,18528400.0,300735.SZ,20260114,光弘科技,NA,CNY
25.78,25.9,25.42,25.56,11482600.0,300735.SZ,20260115,光弘科技,NA,CNY
25.73,26.0,25.47,25.87,13375600.0,300735.SZ,20260116,光弘科技,NA,CNY
25.88,25.91,25.53,25.6,9836600.0,300735.SZ,20260119,光弘科技,NA,CNY
25.47,25.69,24.89,25.08,12556800.0,300735.SZ,20260120,光弘科技,NA,CNY
25.02,25.81,24.88,25.57,10530800.0,300735.SZ,20260121,光弘科技,NA,CNY
25.57,25.84,25.48,25.67,8266000.0,300735.SZ,20260122,光弘科技,NA,CNY
25.73,26.18,25.57,26.13,12710500.0,300735.SZ,20260123,光弘科技,NA,CNY
26.21,26.3,25.27,25.34,12930700.0,300735.SZ,20260126,光弘科技,NA,CNY
25.31,26.01,24.56,25.83,14596000.0,300735.SZ,20260127,光弘科技,NA,CNY
25.75,25.89,25.44,25.53,8762500.0,300735.SZ,20260128,光弘科技,NA,CNY
25.38,25.86,24.97,25.0,11666100.0,300735.SZ,20260129,光弘科技,NA,CNY
24.95,25.17,24.21,24.6,10992000.0,300735.SZ,20260130,光弘科技,NA,CNY
24.47,24.74,23.87,23.88,11356100.0,300735.SZ,20260202,光弘科技,NA,CNY
24.11,24.88,23.95,24.79,12285900.0,300735.SZ,20260203,光弘科技,NA,CNY
24.67,24.95,24.42,24.81,9222000.0,300735.SZ,20260204,光弘科技,NA,CNY
24.81,24.81,24.4,24.43,7033900.0,300735.SZ,20260205,光弘科技,NA,CNY
24.28,24.73,24.03,24.46,7185900.0,300735.SZ,20260206,光弘科技,NA,CNY
24.72,24.88,24.65,24.77,7452600.0,300735.SZ,20260209,光弘科技,NA,CNY
